Job_Title,Company,Location,Date_Posted,Looking_for,Category
Intermediate Python Developer,Delta Controls Inc.,"Surrey, British Columbia, Canada",10 September 2021,"Back end,Database,Front end,Testing,Web, Python3 unittest, Flask, SQLAlchemy, Alembic, Multiprocessing, Threading and Packaging, PostgreSQL",Developer / Engineer
Senior Backend Engineer (Remote),Center of Complex Interventions,"N/A, N/A, N/A",10 September 2021,"Back end,Database,Web, PostgreSQL, Django, SQLAlchemy,",Developer / Engineer
Senior Django Software Engineer,Emissary.ai,"Remote, Anywhere, Western Hemisphere",09 September 2021,"Back end,Database,Web, Django, AWS, GraphQL",Developer / Engineer
Sr. Engineer (Python),Verusen,"Atlanta (remote), GA, US-only",08 September 2021,"Back end,Big Data,Database,Integration,Systems, Flask, Postgres, Snowflake",Developer / Engineer
Sr. Data Engineer,Verusen,"Atlanta (remote), GA, US-only",08 September 2021,"Back end,Big Data,Database,Integration,Machine Learning,Systems, Kafka, Postgres",Developer / Engineer
Sr. Fullstack Engineer (Python),Verusen,"Atlanta (remote), GA, US-only",08 September 2021,"Back end,Database,Front end,Integration,Systems",Developer / Engineer
Software Engineer,Amyris,"Remote - USA, United States",06 September 2021,"Front end,Integration,Systems, Python",Developer / Engineer
Senior Python Engineer,DevsData LLC,"-, 100% REMOTE, -",06 September 2021,"Back end,Front end, Python, Django, JS,  React",Developer / Engineer
Software Development Engineer (R&D) with Python,Technest,"Malaga, Andalusia, Spain",06 September 2021,"Back end,Front end, FullStack",Developer / Engineer
Data / Python / PostgreSQL Engineer (Remote / Hybrid US Pacific),Research Affiliates,"Newport Beach, CA, US",03 September 2021,"Back end,Big Data,Database,Finance,Numeric processing,Systems, PostgreSQL",Developer / Engineer
Advanced Python Engineer (Remote / Hybrid US Pacific),Research Affiliates,"Newport Beach, CA, USA",03 September 2021,"Back end,Finance,Numeric processing,Systems, numpy",Developer / Engineer
Senior Python Developer,Red Acre,"St Julians/ Limassol/ Dublin, Malta/Cyprus/Ireland",02 September 2021,,Developer / Engineer
Medior / Senior Python Developer,UcodeS BV.,"Kontich, Antwerp, Belgium",02 September 2021,"Back end,Big Data,Cloud,Database,Front end,Integration,Operations,Systems,Testing,Text Processing,Web, PostgreSQL, AWS, Google Cloud, Spark, Hadoop, ...",Developer / Engineer
Backend Developer,Upswing Cognitive Hospitality Solutions,"PUNE, MAHARASHTRA, INDIA",02 September 2021,"Back end,Cloud,Database,Integration,Management,Web, MongoDB, GCP, FAST Framework",Developer / Engineer
Developer Advocate - Remote,Zyte,"Cork, Ireland",01 September 2021,"Evangelism, Python",Developer / Engineer
Senior Software Engineer,UT Austin Texas Development,"Austin, Texas, USA",31 August 2021,,Developer / Engineer
Senior Software Engineer,Optimal Dynamics,"New York City, NY, United States",31 August 2021,"Back end, Django, PostgreSQL, Docker, RESTful APIs, and Kafka. Git, Terraform, and AWS.",Developer / Engineer
Software Engineer - Python,Zywave,"Wauwatosa, Wisconsin, United States",31 August 2021,,Developer / Engineer
Phyton developers,Global HR Consulting -Recuiting,"Montevideo, Uruguay, Uruguay- South America",31 August 2021,"Back end, Django framework, microservices, Docker, Postgres , Kafka, RabbitMQ, Redis or Celery",Developer / Engineer
Senior Python/Django Devloper,Total Ticketing Limited,"Hong Kong, Hong Kong, Hong Kong",31 August 2021,Back end,Developer / Engineer
Remote Python Developer,Scopic,"Any city, Worldwide",30 August 2021,"Back end,Front end,Web",Developer / Engineer
Data Engineer (m/f/d),Global Savings Group,"Berlin, Berlin, Germany",29 August 2021,"Back end,Big Data,Cloud,Database,Integration, AWS, Data Lake, ETL",Data Analyst
Remote Staff Python Engineer  for Pre-IPO Startup- North America Based only,Technical Integrity,"Boulder/ Remote, Colorado, USA",27 August 2021,"Back end,Cloud, Django",Developer / Engineer
Django backend developer,Yescapa,"bordeaux, France",26 August 2021,"Back end,Cloud,Database,Testing,Web, Django, PostgreSQL,  Celery, Redis, AWS",Developer / Engineer
Python Developer,Zydelo Inc.,"India, India, India",26 August 2021,"Back end,Systems, python, Django",Developer / Engineer
Embedded Python Software Engineer,Advantics,"Geneva region, Ain, France",25 August 2021,"Embedded, Control system",Developer / Engineer
Lead Developer: Web Platform,Metaculus,"Remote, Remote",24 August 2021,"Back end,Big Data,Database,Front end,Integration,Lead,Machine Learning,Management,Numeric processing,Systems,Testing,Text Processing,Web, Django, Angular, D3",Developer / Engineer
Software Engineer,Ada Mode,"SW England, United Kingdom",24 August 2021,"Back end,Cloud,Web",Developer / Engineer
CAD Infrastructure DevOps Engineer,Xilinx,"Telangana, Hyderabad, India",23 August 2021,"Back end,Database,Operations,Systems,Text Processing, Perforce",Developer / Engineer
Python Solution Developer,Triton Digital,"Montréal, Quebec, Canada",23 August 2021,"Back end,Cloud,Finance,Numeric processing,Systems, AWS ECS and S3, SQL, NoSQL databases, RESTful services",Developer / Engineer
Software Engineer Data Intelligence (d/f/m),Stylight GmbH,"Munich, Bavaria, Germany",23 August 2021,"Google BigQuery, AWS Redshift",Developer / Engineer
REMOTE SENIOR SOFTWARE ARCHITECT JOBS,Turing.com,"Remote, Remote, India",23 August 2021,,Developer / Engineer
Remote Python Developer,Turing.com,"Remote, Remote, India",23 August 2021,,Developer / Engineer
